STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
6,3517119,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
7,3517120,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
8,3517121,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
23,3463102,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH,N
28,3541459,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH,N
29,3541460,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH,N
30,3422431,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH,Y
34,3513556,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,DANG KINH DOANH,Y
38,3515339,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,DANG KINH DOANH,Y
39,3196366,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH,N
40,3196367,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH,N
81,3501639,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH,Y
82,3501640,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH,Y
83,3501641,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH,Y
101,3329700,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH,Y
126,3545292,16760,110-Cua Hang Hue Lam,DANG KINH DOANH,Y
138,3132145,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH,N
139,3132228,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH,N
142,3386499,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
143,3386500,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
144,3386501,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
145,3386502,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
146,3386503,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH,N
147,3386504,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
148,3386505,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
149,3386506,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
150,3386507,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
151,3386508,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
152,3386509,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
153,3491227,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
154,3491953,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH,N
155,3008485,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH,Y
173,3295614,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
179,3497823,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
184,3372479,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH,Y
197,3054635,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH,N
198,3054651,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH,Y
203,3257943,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH,N
204,3257947,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH,N
205,3257948,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH,N
209,3314153,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
210,3314154,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
216,3123559,12483,110-Cty TNHH SXTM TyTy(HMP),NGUNG KINH DOANH,N
234,3250058,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
235,3250059,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
238,3284516,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
240,3285331,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH,N
245,3008472,14653,110-DNTN Dai Phat,DANG KINH DOANH,Y
246,3008478,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH,Y
247,3008479,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH,Y
248,3008481,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH,Y
249,3008482,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH,Y
250,3008486,12483,110-Cty TNHH SXTM TyTy(HMP),NGUNG KINH DOANH,N
251,3008490,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH,Y
268,3449108,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH,Y
271,3140316,14530,110-Co so Nguyen Van Sau,DANG KINH DOANH,Y
285,3390942,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH,N
286,3390945,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH,N
288,3493891,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH,Y
289,3493892,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH,Y
294,3525066,21076,110-Cong Ty TNHH SALACOS -NR,DANG KINH DOANH,Y
299,3282741,16760,110-Cua Hang Hue Lam,DANG KINH DOANH,Y
302,3535758,21076,110-Cong Ty TNHH SALACOS -NR,DANG KINH DOANH,Y
304,3137587,15790,110-CTy CP HMP My Hao,DANG KINH DOANH,Y
305,3137588,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH,N
306,3137589,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH,N
320,3515340,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,DANG KINH DOANH,Y
321,3515341,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,DANG KINH DOANH,Y
322,3515342,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,DANG KINH DOANH,Y
323,3515343,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,DANG KINH DOANH,Y
334,3513552,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,DANG KINH DOANH,Y
335,3513553,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,NGUNG KINH DOANH,N
336,3513554,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,DANG KINH DOANH,Y
337,3513555,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,DANG KINH DOANH,Y
366,3521129,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH,Y
367,3521130,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH,Y
368,3521131,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,DANG KINH DOANH,Y
385,3314078,16760,110-Cua Hang Hue Lam,DANG KINH DOANH,Y
386,3314147,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
387,3452209,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
388,3452211,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,Y
389,3452217,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,Y
390,3452218,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,Y
391,3452220,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,Y
392,3452222,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,Y
393,3452223,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,Y
406,3184818,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
407,3184823,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
408,3184824,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
413,3500596,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,Y
416,3160021,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
417,3160022,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
418,3160023,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
419,3160024,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
434,3288046,15800,110-Cty TNHH 1TV Tri Hoi,DANG KINH DOANH,Y
436,3333828,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
437,3333830,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
438,3333833,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
439,3333834,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
440,3333835,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
441,3372212,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
442,3372213,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y
443,3372214,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH,N
445,3372481,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH,Y
